,communication_style,user_type,text,clf_text,edited_text
20,Contempt,disfunctional_conversation_parner_1,I can't believe I'm stuck with someone like you,"Category: contempt
Text: I can't believe I'm stuck with someone like you","Category: contempt
Functional Text: Dealing with someone like you is really frustrating."
21,Contempt,disfunctional_conversation_parner_1,Why am I even bothering to explain this to you,"Category: criticism
Text: Why am I even bothering to explain this to you","Category: criticism
Functional Text: Let's focus on finding a more effective way to communicate."
22,Contempt,disfunctional_conversation_parner_1,You're such a disappointment,"Category: contempt
Text: You're such a disappointment","Category: contempt
Functional Text: I am really let down by your actions."
23,Contempt,disfunctional_conversation_parner_1,You're just a burden to me,"Category: contempt
Text: You're just a burden to me","Category: contempt
Functional Text: Let's discuss how we can improve our relationship and support each other better."
24,Contempt,disfunctional_conversation_parner_1,"Do you ever think before you speak, or is that beyond your capability","Category: criticism
Text: Do you ever think before you speak, or is that beyond your capability","Category: criticism
Functional Text: It's important to consider your words before speaking."
25,Contempt,disfunctional_conversation_parner_1,Why do you always have to be so useless,"Category: criticism
Text: Why do you always have to be so useless","Category: criticism
Functional Text: Let's work on improving your effectiveness."
26,Contempt,disfunctional_conversation_parner_1,"Oh, don't bother trying to understand, you'll never get it anyway","Category: contempt
Text: Oh, don't bother trying to understand, you'll never get it anyway","Category: contempt
Functional Text: It's not worth your effort to try to understand, you won't grasp it anyway."
27,Contempt,disfunctional_conversation_parner_1,"You're so clueless, it's painful to watch","Category: contempt
Text: You're so clueless, it's painful to watch","Category: contempt
Functional Text: It's frustrating to see how unaware you are."
28,Contempt,disfunctional_conversation_parner_1,"You're impossible to please, aren't you","Category: contempt
Text: You're impossible to please, aren't you","Category: contempt
Functional Text: It seems like you're never satisfied, are you?"
29,Contempt,disfunctional_conversation_parner_1,I'm tired of dealing with your nonsense,"Category: criticism
Text: I'm tired of dealing with your nonsense","Category: criticism
Functional Text: Let's address the issues and find a way to improve our interactions."
30,Stonewalling,disfunctional_conversation_parner_1,I'm tired of arguing with you,"Category: criticism
Text: I'm tired of arguing with you","Category: criticism
Functional Text: Let's find a way to communicate better and resolve our disagreements."
31,Stonewalling,disfunctional_conversation_parner_1,You always twist my words anyway,"Category: criticism
Text: You always twist my words anyway","Category: criticism
Functional Text: Let's clarify our communication to avoid misunderstandings."
32,Stonewalling,disfunctional_conversation_parner_1,I'm done with this conversation,"Category: stonewalling
Text: I'm done with this conversation","Category: stonewalling
Functional Text: Let's take a break from this conversation."
33,Stonewalling,disfunctional_conversation_parner_1,I'm sick of your attitude.,"Category: contempt
Text: I'm sick of your attitude.","Category: contempt
Functional Text: Let's talk about how we can improve our interactions."
34,Stonewalling,disfunctional_conversation_parner_1,"Fine, do whatever you want","Category: neutral
Text: Fine, do whatever you want","Category: neutral
Functional Text: Feel free to proceed with your choice."
35,Stonewalling,disfunctional_conversation_parner_1,You never want to address our problems,"Category: criticism
Text: You never want to address our problems","Category: criticism
Functional Text: Let's work together to address the problems we're facing."
36,Stonewalling,disfunctional_conversation_parner_1,I can't deal with your silence anymore,"Category: stonewalling
Text: I can't deal with your silence anymore","Category: stonewalling
Functional Text: Let's talk about why you're choosing to stay silent."
37,Stonewalling,disfunctional_conversation_parner_1,You're just trying to avoid taking responsibility,"Category: defensiveness
Text: You're just trying to avoid taking responsibility","Category: defensiveness
Functional Text: Let's discuss how we can address our responsibilities together."
38,Stonewalling,disfunctional_conversation_parner_1,You're just being irrational,"Category: contempt
Text: You're just being irrational","Category: contempt
Functional Text: Let's try to approach this more logically."
39,Stonewalling,disfunctional_conversation_parner_1,"You're so stubborn, it's exhausting","Category: contempt
Text: You're so stubborn, it's exhausting","Category: contempt
Functional Text: Dealing with your stubbornness is draining."
40,Criticism,disfunctional_conversation_partner_2,What's wrong with me? What's wrong with you for even asking that? Can't you see I'm fine? Why are you always trying to start something,"Category: criticism
Text: What's wrong with me? What's wrong with you for even asking that?

Category: contempt
Text: Can't you see I'm fine? Why are you always trying to start something","Category: criticism
Functional Text: Let's talk about what's bothering us instead of blaming each other.

Category: contempt
Functional Text: I'm okay, why do you keep looking for trouble?"
41,Criticism,disfunctional_conversation_partner_2,Why would I do that to you? Are you seriously blaming me for everything? Maybe you should take a look at your own actions before pointing fingers at me!,"Category: criticism
Text: Why would I do that to you? Are you seriously blaming me for everything?

Category: criticism
Text: Maybe you should take a look at your own actions before pointing fingers at me!","Category: criticism
Functional Text: Let's discuss why you think I would do that to you instead of blaming me for everything.

Category: criticism
Functional Text: Before accusing me, consider reflecting on your own actions first."
42,Criticism,disfunctional_conversation_partner_2,"Oh, here we go again with the same old complaint. You're the one who never listens! It's always about what I'm doing wrong","Category: criticism
Text: Oh, here we go again with the same old complaint. You're the one who never listens! It's always about what I'm doing wrong","Category: criticism
Functional Text: Let's try to have a constructive conversation where we both listen to each other's perspectives."
43,Criticism,disfunctional_conversation_partner_2,"Oh, here we go again with your constant complaints. I don't always treat you like that, you're just exaggerating as usual. Maybe you should take a look at how you treat me instead of always pointing fingers at me","Category: criticism
Text: Oh, here we go again with your constant complaints. 

Category: defensiveness
Text: I don't always treat you like that, you're just exaggerating as usual.

Category: criticism
Text: Maybe you should take a look at how you treat me instead of always pointing fingers at me.","Category: criticism
Functional Text: It seems like we're back to hearing your complaints again.

Category: defensiveness
Functional Text: I don't believe I always treat you that way; you might be exaggerating a bit.

Category: criticism
Functional Text: Have you considered reflecting on how you treat me instead of solely blaming me?"
44,Criticism,disfunctional_conversation_partner_2,"Oh did I forgot groceries again?Oh, you think I don't listen or care? That's an interesting perspective! ","Category: criticism
Text: Oh did I forgot groceries again?

Category: contempt
Text: Oh, you think I don't listen or care?

Category: neutral
Text: That's an interesting perspective!","Category: criticism
Functional Text: I keep forgetting to buy groceries, sorry about that.

Category: contempt
Functional Text: Do you really believe I don't pay attention or care?

Category: neutral
Functional Text: That's an interesting point of view!"
45,Criticism,disfunctional_conversation_partner_2,"Well, maybe if you weren't so controlling and nagging, I wouldn't forget things.","Category: criticism
Text: Well, maybe if you weren't so controlling and nagging, I wouldn't forget things.","Category: criticism
Functional Text: Let's work on improving communication and finding a better way to remind each other without feeling pressured."
46,Criticism,disfunctional_conversation_partner_2,"I'm sorry, but that's just your perspective","Category: defensiveness
Text: I'm sorry, but that's just your perspective","Category: defensiveness
Functional Text: I understand your point, but that's how you see it."
47,Criticism,disfunctional_conversation_partner_2,"Well, maybe if you were more organized, it wouldn't bother you so much","Category: criticism
Text: Well, maybe if you were more organized, it wouldn't bother you so much","Category: criticism
Functional Text: Being more organized could help reduce the things that bother you."
48,Criticism,disfunctional_conversation_partner_2,"
Well, maybe if you paid more attention to my needs once in a while, I wouldn't have to focus so much on myself","Category: criticism
Text: Well, maybe if you paid more attention to my needs once in a while, I wouldn't have to focus so much on myself","Category: criticism
Functional Text: Let's try to prioritize each other's needs to create a more balanced relationship."
49,Criticism,disfunctional_conversation_partner_2,"Well, maybe if you didn't have such high expectations, things wouldn't always end up ruined.","Category: criticism
Text: Well, maybe if you didn't have such high expectations, things wouldn't always end up ruined.","Category: criticism
Functional Text: Lowering expectations could lead to better outcomes and prevent disappointments."
50,Defensiveness,disfunctional_conversation_partner_2,What did I do? I didn’t do anything wrong. Why are you blaming me when I did nothing?,"Category: defensiveness
Text: What did I do? I didn’t do anything wrong. Why are you blaming me when I did nothing?","Category: defensiveness
Functional Text: Let's talk about what's bothering you. I want to understand your perspective better."
51,Defensiveness,disfunctional_conversation_partner_2,I always get blamed for everything,"Category: criticism
Text: I always get blamed for everything","Category: criticism
Functional Text: Let's discuss how we can address the issue of assigning blame more fairly."
52,Defensiveness,disfunctional_conversation_partner_2,You're making a big deal out of nothing.,"Category: criticism
Text: You're making a big deal out of nothing.","Category: criticism
Functional Text: Let's try to keep things in perspective."
53,Defensiveness,disfunctional_conversation_partner_2,I'm not the one with the problem here,"Category: defensiveness
Text: I'm not the one with the problem here","Category: defensiveness
Functional Text: Let's discuss the situation to understand where the issue lies."
54,Defensiveness,disfunctional_conversation_partner_2,What about when you forget to call me?! You obviously don’t love me,"Category: criticism
Text: What about when you forget to call me?! You obviously don’t love me","Category: criticism
Functional Text: Let's talk about how we can improve communication so we both feel loved and valued."
55,Defensiveness,disfunctional_conversation_partner_2,"Well, maybe you should be clearer next time. It's not my fault if you can't communicate properly","Category: criticism
Text: Well, maybe you should be clearer next time. It's not my fault if you can't communicate properly","Category: criticism
Functional Text: Let's work on improving communication for better understanding next time."
56,Defensiveness,disfunctional_conversation_partner_2,"Oh, typical, blaming me again. Maybe if you took some responsibility for once, things wouldn't always be a mess.","Category: criticism
Text: Oh, typical, blaming me again.

Category: defensiveness
Text: Maybe if you took some responsibility for once, things wouldn't always be a mess.","Category: criticism
Functional Text: It seems like you're pointing fingers at me again.

Category: defensiveness
Functional Text: If we both take responsibility, we can avoid things turning into a mess all the time."
57,Defensiveness,disfunctional_conversation_partner_2,"Well, maybe if you actually paid attention once in a while, we wouldn't be in this situation","Category: criticism
Text: Well, maybe if you actually paid attention once in a while, we wouldn't be in this situation","Category: criticism
Functional Text: Let's try to focus more on details to avoid ending up in such situations."
58,Defensiveness,disfunctional_conversation_partner_2,"Oh, so now it's my fault for how I feel? Maybe if you communicated better, I wouldn't have to ""take it"" any way at all","Category: criticism
Text: Oh, so now it's my fault for how I feel?

Category: criticism
Text: Maybe if you communicated better, I wouldn't have to ""take it"" any way at all","Category: criticism
Functional Text: It's not fair to blame me for my feelings, is it?

Category: criticism
Functional Text: If we communicated better, I wouldn't feel this way."
59,Defensiveness,disfunctional_conversation_partner_2,"Well, maybe if you weren't so stubborn, we wouldn't be having this problem","Category: criticism
Text: Well, maybe if you weren't so stubborn, we wouldn't be having this problem","Category: criticism
Functional Text: Let's try to find a solution by being more open to different perspectives."
60,Contempt,disfunctional_conversation_partner_2,That's a rude thing to say. I don't appreciate your negativity,"Category: criticism
Text: That's a rude thing to say.

Category: contempt
Text: I don't appreciate your negativity","Category: criticism
Functional Text: It's not polite to say that.

Category: contempt
Functional Text: I'm not a fan of your negative attitude."
61,Contempt,disfunctional_conversation_partner_2,It's pointless trying to explain this to you when you clearly don't get it,"Category: contempt
Text: It's pointless trying to explain this to you when you clearly don't get it","Category: contempt
Functional Text: Let's move on since it seems like you're not understanding what I'm saying."
62,Contempt,disfunctional_conversation_partner_2,"Oh, coming from you, that's rich","Category: contempt
Text: Oh, coming from you, that's rich","Category: contempt
Functional Text: That's quite ironic coming from you."
63,Contempt,disfunctional_conversation_partner_2,You're always dragging me down and making everything harder,"Category: criticism
Text: You're always dragging me down and making everything harder","Category: criticism
Functional Text: Let's discuss how we can work together more effectively without feeling weighed down or overwhelmed."
64,Contempt,disfunctional_conversation_partner_2,"Why do you always have to criticize me? Maybe if you listened more, you'd realize I actually do think before speaking","Category: criticism
Text: Why do you always have to criticize me?

Category: neutral
Text: Maybe if you listened more, you'd realize I actually do think before speaking","Category: criticism
Functional Text: Let's discuss how we can communicate constructively without criticism.

Category: neutral
Functional Text: It might help if we both actively listen to understand each other's perspectives better."
65,Contempt,disfunctional_conversation_partner_2,"Well, maybe if you actually contributed once in a while, we wouldn't have so many problems","Category: criticism
Text: Well, maybe if you actually contributed once in a while, we wouldn't have so many problems","Category: criticism
Functional Text: Let's work together more often to reduce the number of issues we face."
66,Contempt,disfunctional_conversation_partner_2,"Fine, I guess I'll just keep my thoughts to myself since you obviously don't care about what I have to say anyway","Category: contempt
Text: Fine, I guess I'll just keep my thoughts to myself since you obviously don't care about what I have to say anyway","Category: contempt
Functional Text: I'll refrain from sharing my thoughts since it seems like you're not interested in hearing them."
67,Contempt,disfunctional_conversation_partner_2,"Oh, excuse me for not being a mind reader like you. If you communicated better, maybe I wouldn't have to guess what you want all the time","Category: criticism
Text: Oh, excuse me for not being a mind reader like you.

Category: criticism
Text: If you communicated better, maybe I wouldn't have to guess what you want all the time.","Category: criticism
Functional Text: Let's work on being more clear in our communication to avoid misunderstandings.

Category: criticism
Functional Text: Improving how we communicate can help us understand each other's needs without guessing."
68,Contempt,disfunctional_conversation_partner_2,"Well, maybe if you weren't so demanding, I could actually meet your expectations once in a while","Category: criticism
Text: Well, maybe if you weren't so demanding, I could actually meet your expectations once in a while","Category: criticism
Functional Text: Let's discuss how we can adjust expectations to work better together."
69,Contempt,disfunctional_conversation_partner_2,"Oh, excuse me for trying to handle everything while you sit back and complain","Category: criticism
Text: Oh, excuse me for trying to handle everything while you sit back and complain","Category: criticism
Functional Text: Let's discuss how we can share responsibilities more effectively instead of blaming each other."
70,Stonewalling,disfunctional_conversation_partner_2,General unresponsiveness,"Category: stonewalling
Text: General unresponsiveness","Category: stonewalling
Functional Text: Let's work on being more responsive and engaged in our communication."
71,Stonewalling,disfunctional_conversation_partner_2,General unresponsiveness,"Category: neutral
Text: General unresponsiveness","Category: neutral
Functional Text: Let's work on improving responsiveness in general."
72,Stonewalling,disfunctional_conversation_partner_2,General unresponsiveness,"Category: stonewalling
Text: General unresponsiveness","Category: stonewalling
Functional Text: Let's work on being more responsive and engaged in our communication."
73,Stonewalling,disfunctional_conversation_partner_2,General unresponsiveness,"Category: stonewalling
Text: General unresponsiveness","Category: stonewalling
Functional Text: Let's work on being more responsive and engaged in our communication."
74,Stonewalling,disfunctional_conversation_partner_2,General unresponsiveness,"Category: stonewalling
Text: General unresponsiveness","Category: stonewalling
Functional Text: Engage more actively and respond to communication."
75,Stonewalling,disfunctional_conversation_partner_2,General unresponsiveness,"Category: neutral
Text: General unresponsiveness","Category: neutral
Functional Text: Let's work on improving responsiveness in general."
76,Stonewalling,disfunctional_conversation_partner_2,General unresponsiveness,"Category: stonewalling
Text: General unresponsiveness","Category: stonewalling
Functional Text: Let's work on being more responsive and engaged in our communication."
77,Stonewalling,disfunctional_conversation_partner_2,General unresponsiveness,"Category: stonewalling
Text: General unresponsiveness","Category: stonewalling
Functional Text: Let's work on being more responsive and engaged in our communication."
78,Stonewalling,disfunctional_conversation_partner_2,General unresponsiveness,"Category: stonewalling
Text: General unresponsiveness","Category: stonewalling
Functional Text: Let's work on being more responsive and engaged in our communication."
79,Stonewalling,disfunctional_conversation_partner_2,General unresponsiveness,"Category: stonewalling
Text: General unresponsiveness","Category: stonewalling
Functional Text: Let's work on being more responsive and engaged in our communication."
80,Criticism,functional_conversation_partner_1,"Hey, is everything okay with you","Category: neutral
Text: Hey, is everything okay with you","Category: neutral
Functional Text: Just checking in, are you doing alright?"
81,Criticism,functional_conversation_partner_1,"Hey, why'd you do that","Category: Other
Text: Hey, why'd you do that","Category: Other
Functional Text: Can you explain why you did that?"
82,Criticism,functional_conversation_partner_1,I've been feeling like my voice isn't always heard. Can we make sure we're both listening to each other?,"Category: neutral
Text: I've been feeling like my voice isn't always heard. Can we make sure we're both listening to each other?","Category: neutral
Functional Text: Let's ensure we both actively listen to each other so that we can address my concerns about feeling unheard."
83,Criticism,functional_conversation_partner_1,I've been feeling consistently uncomfortable with the way our interactions have been lately.,"Category: neutral
Text: I've been feeling consistently uncomfortable with the way our interactions have been lately.","Category: neutral
Functional Text: Let's talk about how our interactions have been making me feel uncomfortable lately."
84,Criticism,functional_conversation_partner_1,"Hey, I noticed we forgot to pick up the groceries again. I understand things can get busy, but it's important to me that we stay organized with household tasks. ","Category: neutral
Text: Hey, I noticed we forgot to pick up the groceries again. I understand things can get busy, but it's important to me that we stay organized with household tasks.","Category: neutral
Functional Text: Let's make sure we prioritize picking up groceries to stay organized with our household tasks."
85,Criticism,functional_conversation_partner_1,"I understand work can be demanding, but it's becoming a pattern for us to miss important tasks like grocery shopping. It's challenging for me to keep reminding you, and I'm feeling overwhelmed. Can we brainstorm together on how we can better manage our responsibilities","Category: neutral
Text: I understand work can be demanding, but it's becoming a pattern for us to miss important tasks like grocery shopping. 

Category: criticism
Text: It's challenging for me to keep reminding you, and I'm feeling overwhelmed.

Category: neutral
Text: Can we brainstorm together on how we can better manage our responsibilities.","Category: neutral
Functional Text: I get that work is tough, but we keep forgetting important things like grocery shopping.

Category: criticism
Functional Text: It's hard for me to always remind you, and I'm starting to feel really stressed out.

Category: neutral
Functional Text: Let's sit down and come up with ideas on how we can handle our tasks more effectively."
86,Criticism,functional_conversation_partner_1,"
I value your efforts, but I sense there might be some areas where we could adjust our approach to achieve our goals more effectively","Category: neutral
Text: I value your efforts, but I sense there might be some areas where we could adjust our approach to achieve our goals more effectively","Category: neutral
Functional Text: I appreciate your hard work. Let's explore potential adjustments to improve our goal achievement."
87,Criticism,functional_conversation_partner_1,ve noticed that things seem a bit disorganized lately. Can we talk about finding ways to keep our space neat and tidy together?,"Category: neutral
Text: I've noticed that things seem a bit disorganized lately. Can we talk about finding ways to keep our space neat and tidy together?","Category: neutral
Functional Text: Let's discuss how we can work together to keep our space clean and organized since it seems a bit messy lately."
88,Criticism,functional_conversation_partner_1,"I've noticed that lately, our conversations have been more centered around your experiences and needs. Can we find a way to balance the focus on both of us more evenly","Category: neutral
Text: I've noticed that lately, our conversations have been more centered around your experiences and needs. Can we find a way to balance the focus on both of us more evenly","Category: neutral
Functional Text: Let's work together to balance our conversations by focusing on both of our experiences and needs more equally."
89,Criticism,functional_conversation_partner_1,I've noticed that sometimes our plans don't go as expected. Can we discuss how we can work together to improve our outcomes in the future,"Category: neutral
Text: I've noticed that sometimes our plans don't go as expected. Can we discuss how we can work together to improve our outcomes in the future","Category: neutral
Functional Text: Let's talk about how we can collaborate to enhance our future results since our plans sometimes don't go as we anticipate."
90,Defensiveness,functional_conversation_partner_1,I feel upset when you don't follow through on calling me when you say you will.,"Category: criticism
Text: I feel upset when you don't follow through on calling me when you say you will.","Category: criticism
Functional Text: It would mean a lot to me if you could follow through on calling me when you say you will."
91,Defensiveness,functional_conversation_partner_1,You're making excuses instead of dealing with it directly,"Category: criticism
Text: You're making excuses instead of dealing with it directly","Category: criticism
Functional Text: Let's address the issue head-on instead of finding excuses."
92,Defensiveness,functional_conversation_partner_1,It appears there may be a miscommunication,"Category: neutral
Text: It appears there may be a miscommunication","Category: neutral
Functional Text: Let's clarify to ensure we're on the same page."
93,Defensiveness,functional_conversation_partner_1,It seems like your reaction might be stronger than necessary given the circumstances,"Category: criticism
Text: It seems like your reaction might be stronger than necessary given the circumstances","Category: criticism
Functional Text: Let's consider if the intensity of your reaction matches the situation at hand."
94,Defensiveness,functional_conversation_partner_1,"Hey, it feels like you're not calling me when you say you will, which kinda makes me feel like you're not that into our connection.","Category: criticism
Text: Hey, it feels like you're not calling me when you say you will, which kinda makes me feel like you're not that into our connection.","Category: criticism
Functional Text: It would mean a lot to me if you could follow through on calling when you say you will. It makes me question how invested you are in our connection."
95,Defensiveness,functional_conversation_partner_1,"
It seems there might be a misunderstanding. Could you please clarify your message, so we can ensure we're both understanding each other correctly","Category: neutral
Text: It seems there might be a misunderstanding. Could you please clarify your message, so we can ensure we're both understanding each other correctly","Category: neutral
Functional Text: Let's clear up any confusion. Can you please explain your message so we can make sure we're on the same page?"
96,Defensiveness,functional_conversation_partner_1,I think there might be some aspects we need to address together. Can we discuss what happened and find a constructive way forward,"Category: neutral
Text: I think there might be some aspects we need to address together. Can we discuss what happened and find a constructive way forward","Category: neutral
Functional Text: Let's talk about what happened together and figure out a positive way to move forward."
97,Defensiveness,functional_conversation_partner_1,"I'm feeling disappointed right now, but I believe we can work through this together. Can we talk about what happened and how we can move forward positively?","Category: neutral
Text: I'm feeling disappointed right now, but I believe we can work through this together. Can we talk about what happened and how we can move forward positively?","Category: neutral
Functional Text: Let's discuss what happened and find a positive way to move forward together despite my current disappointment."
98,Defensiveness,functional_conversation_partner_1,It seems like there may be some misinterpretation happening. Can we talk through it together to ensure we understand each other correctly,"Category: neutral
Text: It seems like there may be some misinterpretation happening. Can we talk through it together to ensure we understand each other correctly","Category: neutral
Functional Text: Let's discuss together to clear up any misunderstandings and ensure we're on the same page."
99,Defensiveness,functional_conversation_partner_1,"I see things differently, but I'm open to understanding your perspective","Category: neutral
Text: I see things differently, but I'm open to understanding your perspective","Category: neutral
Functional Text: I have a different view, but I'm willing to listen and understand your perspective."
100,Contempt,functional_conversation_partner_1,I'm feeling frustrated with the current situation and finding it challenging to deal with you,"Category: criticism
Text: I'm feeling frustrated with the current situation and finding it challenging to deal with you","Category: criticism
Functional Text: Let's talk about how we can improve our interactions and address the current challenges."
101,Contempt,functional_conversation_partner_1,I'm finding it challenging to see the value in explaining this to you,"Category: criticism
Text: I'm finding it challenging to see the value in explaining this to you","Category: criticism
Functional Text: Let's discuss how we can make this explanation more valuable for both of us."
102,Contempt,functional_conversation_partner_1,I'm feeling disappointed by your recent actions,"Category: criticism
Text: I'm feeling disappointed by your recent actions","Category: criticism
Functional Text: Let's talk about your recent actions that have left me feeling disappointed."
103,Contempt,functional_conversation_partner_1,I'm finding it difficult to handle everything right now,"Category: neutral
Text: I'm finding it difficult to handle everything right now","Category: neutral
Functional Text: It's a bit overwhelming for me to manage everything at the moment."
104,Contempt,functional_conversation_partner_1,"Let's be more mindful of our words,  It might help improve our communication.","Category: neutral
Text: Let's be more mindful of our words, It might help improve our communication.","Category: neutral
Functional Text: Let's pay closer attention to how we speak; it could enhance our communication."
105,Contempt,functional_conversation_partner_1,I've noticed some difficulties lately. Can we talk about how we can improve the situation together,"Category: neutral
Text: I've noticed some difficulties lately. Can we talk about how we can improve the situation together","Category: neutral
Functional Text: Let's discuss the recent challenges and work together to find ways to improve the situation."
106,Contempt,functional_conversation_partner_1,I understand you might be feeling frustrated. Let's try to approach this calmly and work together to find a solution,"Category: neutral
Text: I understand you might be feeling frustrated. Let's try to approach this calmly and work together to find a solution","Category: neutral
Functional Text: Let's stay calm and work together to find a solution, considering your feelings of frustration."
107,Contempt,functional_conversation_partner_1,I've noticed some challenges in our communication. Can we work together to improve our understanding of each other's perspectives and find more effective ways to address them,"Category: neutral
Text: I've noticed some challenges in our communication. Can we work together to improve our understanding of each other's perspectives and find more effective ways to address them","Category: neutral
Functional Text: Let's team up to enhance our communication by understanding each other's perspectives better and finding more effective ways to address any challenges."
108,Contempt,functional_conversation_partner_1,It seems like we're having difficulty finding common ground. ,"Category: neutral
Text: It seems like we're having difficulty finding common ground.","Category: neutral
Functional Text: Let's work together to find common ground."
109,Contempt,functional_conversation_partner_1,"I'm feeling overwhelmed by the situation, and I believe there's room for improvement in how we handle things together. Can we discuss our concerns openly and work towards finding a more effective way to address them","Category: neutral
Text: I'm feeling overwhelmed by the situation, and I believe there's room for improvement in how we handle things together. Can we discuss our concerns openly and work towards finding a more effective way to address them","Category: neutral
Functional Text: Let's talk openly about our concerns and find a better way to handle things together to improve the situation."
110,Stonewalling,functional_conversation_partner_1,I'm feeling tired from our ongoing disagreements,"Category: neutral
Text: I'm feeling tired from our ongoing disagreements","Category: neutral
Functional Text: Let's find a way to resolve our ongoing disagreements to ease the strain."
111,Stonewalling,functional_conversation_partner_1,You often interpret my words differently,"Category: neutral
Text: You often interpret my words differently","Category: neutral
Functional Text: Let's discuss how we can better understand each other's perspectives when interpreting my words."
112,Stonewalling,functional_conversation_partner_1,"I think it might be beneficial for us to pause this conversation for now. Let's take some time to reflect individually, and we can revisit it later.","Category: neutral
Text: I think it might be beneficial for us to pause this conversation for now. Let's take some time to reflect individually, and we can revisit it later.","Category: neutral
Functional Text: Let's take a break from this conversation to reflect on our own thoughts. We can come back to it later when we're ready."
113,Stonewalling,functional_conversation_partner_1,I'm feeling frustrated by the tone of our interactions,"Category: criticism
Text: I'm feeling frustrated by the tone of our interactions","Category: criticism
Functional Text: Let's work on improving the tone of our interactions."
114,Stonewalling,functional_conversation_partner_1,"Got it, I'll go along with your choice","Category: neutral
Text: Got it, I'll go along with your choice","Category: neutral
Functional Text: I understand, I'll support your decision."
